id,name,applicability
account_tag_SAFT_4064,"SAFT 4064",accounts
account_tag_SAFT_4066,"SAFT 4066",accounts
account_tag_SAFT_4068,"SAFT 4068",accounts
account_tag_SAFT_4069,"SAFT 4069",accounts
account_tag_SAFT_4070,"SAFT 4070",accounts
account_tag_SAFT_4080,"SAFT 4080",accounts
account_tag_SAFT_4084,"SAFT 4084",accounts
account_tag_SAFT_4090,"SAFT 4090",accounts
account_tag_SAFT_4092,"SAFT 4092",accounts
account_tag_SAFT_4095,"SAFT 4095",accounts
account_tag_SAFT_4096,"SAFT 4096",accounts
account_tag_SAFT_4098,"SAFT 4098",accounts
account_tag_SAFT_4100,"SAFT 4100",accounts
account_tag_SAFT_4110,"SAFT 4110",accounts
account_tag_SAFT_4111,"SAFT 4111",accounts
account_tag_SAFT_4120,"SAFT 4120",accounts
account_tag_SAFT_4200,"SAFT 4200",accounts
account_tag_SAFT_4210,"SAFT 4210",accounts
account_tag_SAFT_4290,"SAFT 4290",accounts
account_tag_SAFT_4310,"SAFT 4310",accounts
account_tag_SAFT_4350,"SAFT 4350",accounts
account_tag_SAFT_4352,"SAFT 4352",accounts
account_tag_SAFT_4353,"SAFT 4353",accounts
account_tag_SAFT_4354,"SAFT 4354",accounts
account_tag_SAFT_4356,"SAFT 4356",accounts
account_tag_SAFT_4358,"SAFT 4358",accounts
account_tag_SAFT_4360,"SAFT 4360",accounts
account_tag_SAFT_4362,"SAFT 4362",accounts
account_tag_SAFT_4364,"SAFT 4364",accounts
account_tag_SAFT_4400,"SAFT 4400",accounts
account_tag_SAFT_4401,"SAFT 4401",accounts
account_tag_SAFT_4402,"SAFT 4402",accounts
account_tag_SAFT_4403,"SAFT 4403",accounts
account_tag_SAFT_4416,"SAFT 4416",accounts
account_tag_SAFT_4419,"SAFT 4419",accounts
account_tag_SAFT_4420,"SAFT 4420",accounts
account_tag_SAFT_4421,"SAFT 4421",accounts
account_tag_SAFT_4422,"SAFT 4422",accounts
account_tag_SAFT_4423,"SAFT 4423",accounts
account_tag_SAFT_4424,"SAFT 4424",accounts
account_tag_SAFT_4425,"SAFT 4425",accounts
account_tag_SAFT_4430,"SAFT 4430",accounts
account_tag_SAFT_4449,"SAFT 4449",accounts
account_tag_SAFT_4450,"SAFT 4450",accounts
account_tag_SAFT_4451,"SAFT 4451",accounts
account_tag_SAFT_4452,"SAFT 4452",accounts
account_tag_SAFT_4453,"SAFT 4453",accounts
account_tag_SAFT_4454,"SAFT 4454",accounts
account_tag_SAFT_4455,"SAFT 4455",accounts
